rank,name,age,team,position
423,Dante Fabbro,26,NSH,D
424,Ivan Ivan,22,COL,F
425,Mark Jankowski,30,NSH,C
426,Zachary Jones,24,NYR,D
427,Justin Kirkland,28,CGY,LW
428,Jiri Kulich,20,BUF,C
429,Ilya Lyubushkin,30,DAL,D
430,Emil Martinsen Lilleberg,23,TBL,D
431,Brock McGinn,30,ANA,LW
432,Pavel Mintyukov,21,ANA,D
433,Tyler Myers,34,VAN,D
434,Jesse Puljujärvi,26,PIT,RW
435,Rasmus Ristolainen,30,PHI,D
436,Matt Roy,29,WSH,D
437,Nate Schmidt,33,FLA,D
438,Jonas Siegenthaler,27,NJD,D
439,Henry Thrun,23,SJS,D
440,Noel Acciari,33,PIT,C
441,Viktor Arvidsson,31,EDM,LW
442,Jonatan Berggren,24,DET,RW
443,Mavrik Bourque,23,DAL,C
444,Erik Brännström,25,VAN,D
445,Jake Christiansen,25,CBJ,D
446,Connor Clifton,29,BUF,D
447,Lawson Crouse,27,UTA,LW
448,Pierre Engvall,28,NYI,LW
449,Robby Fabbri,29,ANA,C
450,Radek Faksa,31,STL,C
451,Martin Fehérváry,25,WSH,D
452,Cody Glass,25,PIT,C
453,Jordan Greenway,27,BUF,LW
454,Ryan Hartman,30,MIN,RW
455,Kevin Hayes,32,PIT,RW
456,Tanner Jeannot,27,LAK,F
457,Marco Kasper,20,DET,C
458,Dmitry Kulikov,34,FLA,D
459,Hendrix Lapierre,22,WSH,C
460,Trevor Lewis,38,LAK,C
461,Timothy Liljegren,25,TOR,D
462,Hampus Lindholm,31,BOS,D
463,Beck Malenstyn,26,BUF,LW
464,Anthony Mantha,30,CGY,RW
465,Colin Miller,32,WPG,D
466,Cole Schwindt,23,VEG,RW
467,Ryan Suter,40,STL,D
468,Conor Timmins,26,TOR,D
469,Cameron York,24,PHI,D
470,Yegor Zamula,24,PHI,D
471,Jacob Trouba,30,NYR,D
472,Nolan Allan,21,CHI,D
473,Mathew Barzal,27,NYI,C
474,Zach Bogosian,34,MIN,D
475,Sam Carrick,32,NYR,C
476,Calvin de Haan,33,COL,D
477,Dylan DeMelo,31,WPG,D
478,Brian Dumoulin,33,ANA,D
479,Mario Ferraro,26,SJS,D
480,Haydn Fleury,28,WPG,D
481,Noah Gregor,26,OTT,C
482,Radko Gudas,34,ANA,D
483,Kaiden Guhle,23,MTL,D
484,Nils Höglander,24,VAN,LW
485,Pontus Holmberg,25,TOR,RW
